"student_user_No","성별","지역","학교넘버","학교","학년","등급","수학점수"
78124,"F","경상북도",2633,"금호여자중학교",479,471,1
6949,"F","경기도",2338,"시흥월곶초등학교",699,472,7
56133,"F","서울특별시",299,"을지중학교",478,472,98
7837,"F","울산광역시",919,"성안중학교",477,473,75
71958,"F","경상북도",5543,"원호초등학교",7,472,9
78366,"F","강원도",1634,"관동중학교",477,473,5
77117,"F","경기도",1234,"독정초등학교",7,472,98
5267,"F","경기도",3276,"주곡중학교",477,472,8
654,"F","경상남도",7389,"효암고등학교",48,465,58
72479,"F","",21,"기타",484,47,NA
78364,"F","경기도",726,"대평중학교",477,472,7
55128,"F","서울특별시",875,"서울고등학교",48,466,NA
78365,"F","경기도",1436,"오산원일중학교",479,471,95
78361,"F","서울특별시",136,"서울도곡초등학교",7,472,1
78363,"F","강원도",124,"버들초등학교",7,472,8
567,"F","대구광역시",884,"침산중학교",479,471,1
78359,"F","서울특별시",751,"경복초등학교",7,472,96
