question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
299,78793,14,4,3,5,2032,WOMAN,471,479,100,온양여자중학교,충청남도
300,57494,13,3,2,0,9453,WOMAN,471,477,100,온곡중학교,서울특별시
301,77948,18,5,3,5,7809,MAN,464,480,0,동래고등학교,부산광역시
302,73646,21,3,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
303,78779,51,3,1,4.66667,9326,WOMAN,471,700,100,장복초등학교,경상남도
304,73646,21,4,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
305,78790,12,2,1,5,902,WOMAN,473,479,57,여주고등학교,경기도
306,67753,19,4,3,5,9029,MAN,465,481,32,김해삼문고등학교,경상남도
307,57494,13,4,3,0,9453,WOMAN,471,477,100,온곡중학교,서울특별시
308,78788,51,3,1,5,7717,WOMAN,473,478,40,해연중학교,부산광역시
309,77948,19,4,3,5,7809,MAN,464,480,0,동래고등학교,부산광역시
310,35536,21,4,2,0,988,MAN,467,480,\N,용인고등학교,경기도
311,35536,21,0,\N,0,988,MAN,467,480,\N,용인고등학교,경기도
312,78788,51,2,1,5,7717,WOMAN,473,478,40,해연중학교,부산광역시
313,73646,21,4,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
314,73646,21,5,3,5,10318,WOMAN,465,480,57,서천고등학교,경기도
315,67753,19,5,1,5,9029,MAN,465,481,32,김해삼문고등학교,경상남도
316,16835,46,4,3,0,21,WOMAN,472,700,\N,기타,
317,28144,21,4,2,5,8086,WOMAN,466,480,\N,심석고등학교,경기도
318,78779,51,4,3,5,9326,WOMAN,471,700,100,장복초등학교,경상남도
319,50653,16,4,3,0,390,WOMAN,466,481,49,동덕여자고등학교,서울특별시
320,78780,13,4,2,0,3915,WOMAN,472,478,90,원당초등학교,충청남도
321,78780,13,4,3,5,3915,WOMAN,472,478,90,원당초등학교,충청남도
322,77520,51,4,3,4,8657,WOMAN,472,477,80,동수영중학교,부산광역시
323,78778,12,4,3,5,10937,WOMAN,472,479,100,함양고등학교,경상남도
324,77924,13,3,2,0,7609,WOMAN,472,477,48,고림중학교,경기도
325,78721,61,3,2,5,9089,WOMAN,472,478,99,남양중학교,경기도
326,65852,26,4,3,5,10354,MAN,466,480,43,선인고등학교,인천광역시
327,78773,18,5,4,5,1113,WOMAN,464,480,87,장안제일고등학교,부산광역시
328,73476,19,4,2,5,3300,WOMAN,472,479,89,신봉중학교,경기도
329,77878,12,4,2,5,1268,WOMAN,471,479,89,삼숭중학교,경기도
330,77948,19,3,2,5,7809,MAN,464,480,0,동래고등학교,부산광역시
331,78771,37,4,3,0,2094,MAN,464,481,77,광주중앙고등학교,경기도
332,78771,37,3,2,0,2094,MAN,464,481,77,광주중앙고등학교,경기도
333,2143,64,4,3,5,2821,WOMAN,471,699,\N,화중초등학교,경기도
334,2143,64,3,2,5,2821,WOMAN,471,699,\N,화중초등학교,경기도
335,2143,64,4,3,5,2821,WOMAN,471,699,\N,화중초등학교,경기도
336,78770,17,3,2,0,220,MAN,464,480,0,김포고등학교,경기도
337,78770,17,4,3,0,220,MAN,464,480,0,김포고등학교,경기도
338,78358,51,4,3,5,12212,WOMAN,472,700,100,서울구일초등학교,서울특별시
339,28144,21,4,3,5,8086,WOMAN,466,480,\N,심석고등학교,경기도
340,77878,12,5,2,5,1268,WOMAN,471,479,89,삼숭중학교,경기도
341,77938,52,3,2,4.33333,12188,WOMAN,473,477,53,성전중학교,전라남도
342,77554,41,4,3,4.66667,939,MAN,471,700,100,인천남동초등학교,인천광역시
343,37298,13,3,2,0,8184,WOMAN,472,479,\N,대전대청중학교,대전광역시
344,50262,13,3,2,0,3264,MAN,472,479,88,장흥중학교,경상북도
345,77948,19,4,3,5,7809,MAN,464,480,0,동래고등학교,부산광역시
346,50262,13,3,2,0,3264,MAN,472,479,88,장흥중학교,경상북도
347,75675,33,4,3,5,7964,WOMAN,466,481,50,시지고등학교,대구광역시
